Country,Year,Latitude,Longitude,Death_Category
Turkey,19,38.8,40.5,101-1000 Deaths
Philippines,19,11.76,121.899,1-50 Deaths
Turkey,19,39.5,43.3,101-1000 Deaths
Iran,19,28.4,52.8,>1001 Deaths
Turkey,19,39.9,43.9,1-50 Deaths
China,19,23.9,102.3,101-1000 Deaths
Colombia,19,4.554,-77.442,1-50 Deaths
China,19,47.0,127.2,101-1000 Deaths
Indonesia,20,-8.31,115.788,1-50 Deaths
Colombia,19,2.461,-76.686,101-1000 Deaths
Guatemala,19,14.646,-90.986,1-50 Deaths
China,19,34.2,105.7,101-1000 Deaths
Ecuador,19,-1.036,-78.737,1-50 Deaths
China,19,30.927,101.098,101-1000 Deaths
Japan,19,36,139.82,1-50 Deaths
China,19,26.4,99.7,101-1000 Deaths
China,19,31.5,120.5,1-50 Deaths
Turkey,19,39.9,41.7,101-1000 Deaths
Turkey,19,38.474,40.723,>1001 Deaths
Turkey,19,36.5,35.5,1-50 Deaths
Turkey,19,39.3,41.2,101-1000 Deaths
Chile-Argentina,19,-23.5,-67.5,1-50 Deaths
Philippines,19,8.1,123.2,101-1000 Deaths
Mexico,19,18.19,-102.533,>1001 Deaths
Peru,19,-13.5,-74.0,1-50 Deaths
Indonesia,19,-9.5,110,101-1000 Deaths
Guatemala,19,15.324,-89.101,>1001 Deaths
Indonesia,19,-6,113.0,1-50 Deaths
Argentina,19,-32.7,-68.4,101-1000 Deaths
Iran,19,33.6,59.0,1-50 Deaths
Japan,19,32.3,132.5,1-50 Deaths
Taiwan,19,23.7,120.9,101-1000 Deaths
China,18,34.8,111.2,>1001 Deaths
Portugal; Morocco,19,36.017,-10.95,1-50 Deaths
China,19,31.3,116.2,101-1000 Deaths
Iran,18,37.8,47.9,>1001 Deaths
Albania,19,40.6,20.8,51-100 Deaths
Indonesia,19,-4.517,139.918,101-1000 Deaths
Tajikistan,19,38.5,67.9,>1001 Deaths
Mexico,19,16.5,-97.8,1-50 Deaths
Chile,19,-33.132,-71.708,101-1000 Deaths
Guadeloupe,18,16.5,-62.2,>1001 Deaths
China,18,39.1,113.0,1-50 Deaths
Taiwan,19,23.1,120.3,51-100 Deaths
Turkey,19,41.2,42.8,101-1000 Deaths
China,18,23.7,102.5,>1001 Deaths
Iran,19,39.2,44.3,1-50 Deaths
Indonesia,18,-8.25,124.75,101-1000 Deaths
Taiwan,18,24.1,120.5,>1001 Deaths
China,18,29.2,104.9,1-50 Deaths
Turkey,19,37.82,30.27,>1001 Deaths
China,18,37.1,111.9,1-50 Deaths
Philippines,19,10.5,122.0,51-100 Deaths
Iran,18,37.1,58.4,>1001 Deaths
China,19,26.3,99.9,1-50 Deaths
Iran,18,29.6,52.5,>1001 Deaths
China,19,39.8,114.5,1-50 Deaths
Greece,19,36.9,26.0,51-100 Deaths
China,19,28.0,104.0,>1001 Deaths
China,19,24.6,98.6,1-50 Deaths
Kyrgyzstan,19,42.142,73.575,51-100 Deaths
China,18,34.1,113.8,101-1000 Deaths
Indonesia,19,-7.0,116.0,>1001 Deaths
China,18,35.8,114.4,1-50 Deaths
California,19,34.213,-118.537,51-100 Deaths
Turkey,18,37.93,28.84,>1001 Deaths
Colombia,19,1,-77.5,1-50 Deaths
California,19,37.036,-121.883,51-100 Deaths
Uzbekistan,19,40.8,72.3,>1001 Deaths
Peru,18,-12.13,-77.809,1-50 Deaths
